,tweet_text
25,  Most coronavirus deaths Italy 18 849 US 18 331 Spain 15 970 France 13 197 UK 8 958 Iran 4 232 China 3 336 Belg 
26,  Trump is saying he wants a stronger border with Canada Again So again I say on behalf of Canadians everywhere there 
27,  I applied for the Canadian self employed benefit on Monday and the first 2 000 00 payment was in my b 
28,  Ontario received 100 000 contaminated unusable swabs for COVID 19 tests The Star These are the Trudeau tests that h 
29, Canada Please encourage people wearing masks in public Masks4All
30,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
31, Please LTC homes in Canada were having meetings to plan strategy about covid19 and wasn t aware Yeah ok 
32,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
33,  pr Why was dollarama open on Good Friday in Ontario Canada Did the province not order all stores to be c 
34, paul Meanwhile in NY https t co b60d0YSjtS
35,  Trudo is salivating at getting more control of Canada for the UN Our nation is targeted by 
36,  Finland Latest Country to Receive Faulty Chinese Protective Equipment Canada Spain amp British authorities have also recall 
37,  Justin Trudeau We ve done significantly more tests in total than the United States has and they re ten times the size of 
38,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
39,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
40,  Do you want a made in Canada rapid test to see if you have antibodies to a coronavirus Well you can t have one Why B 
41,  Voice No covid 19 rapid test kits are permitted for sale to the public in Canada so for the sake of a 10 10 minute test C 
42,  parris My latest Artists in Canada are constantly forced to prove their value to governments and voters This lockdown should 
43,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
44,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
45,  Those praising Ford surely must also acknowledge the public health cuts cutting 10 paid sick days to a mere 3 reinstating 
46, lemieux PMJT was asked this question today of course He said Ontario is trying to test https t co XojCCcDGXK
47,  Flashback CoronaUpdate 1 6 Canadian government scientist under investigation trained staff at Level 4 lab in China h 
48,  Most coronavirus deaths Italy 18 849 US 18 331 Spain 15 970 France 13 197 UK 8 958 Iran 4 232 China 3 336 Belg 
49,  I wanna move to Canada how do I become a citizen
50,  B C s top doctor and health minister have been pleading with people to stay home this long weekend and avoid non essential 
51,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
52,  If you re a small business owner worried about paying the bills we ve got your back We launched the Canada Emergency B 
53,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
54,Heard Podcast Ep 154 yet ETCanada and HGTVCanada host Sangita Patel is a featured guest https t co xx1EDOfc6R https t co n3J9tiCPjD
55, I don t have cashapp in Canada 
56,  Do you want a made in Canada rapid test to see if you have antibodies to a coronavirus Well you can t have one Why B 
57,Duolingo English test valid for Canada now Take the test online anytime anywhere while staying safe at your h https t co GEfzv8Nzyf
58, DEAR UNITED NATIONS I com mu ni cate TO ALL GOVERNMENTS CANADA OFFICE SERVICES UNTIL I FOUND OUT A CLE https t co 2yNyUBgB3E
59,ALL BY HERSELF TheJazzSession 516 went to her hometown in Canada and recorded a solo record on th https t co NUKOqF4FVf
60,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
61, Germany and Denmark though seem to being doing better but agreed in ge https t co Umoj39FhWV
62,  A chronicle of how brutally Canadian officials bungled the response ignoring red flags amp letting thousands from disea 
63,Wednesday is TakeoutDay in Canada https t co 5zwpcWCRyR
64,  I hope the RCMP stand up to this tyranny They failed to in the protest blockades I dont believe Canada is currently under 
65,  I applied for the Canadian self employed benefit on Monday and the first 2 000 00 payment was in my b 
66, caprara jayness Budd Your country is a terrorist regime murdering t https t co dNHXyQZAlu
67,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
68, I m no geographer but Canada and California might be the same place 
69,  Ottawa had a playbook for a coronavirus like pandemic 14 years ago What went wrong by via 
70,Canada should attack the U S Fuck it let s call their bluff
71,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
72,  Got the first picture from SouthAfrica and it s apparently being circulated in the townships The next one from Canad 
73,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
74,  The White House point out that VOA actually is CCP s puppet that use US tax money to destroy US that is a big issue ver 
75,  Sunset casts a warm glow over Canada s Maligne Lake in this dramatic image by Your Shot photographer Pierre Leclerc https t 
76,Canada misses you BarackObama https t co kvy6Ayh5Ef
77,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
78, I d love for all the people who are unhappy to go to Canada and watch how you get the same life Lmao
79,  Where did the swabs come from Ontario received 100 000 contaminated unusable swabs for COVID 19 tests The Star https 
80,  Incredibly Alberta s doctors are suing Jason Kenney during this pandemic It would be like if the firefighters sued Ra 
81,  Fines in Canada for breaking quarantine rules are up to 750 000 and 1 year in jail For endangering others by being ou 
82,  B C health authorities intervene in three China owned senior care facilities after reports of neglect The Globe and Mai 
83,I know it Canada ah but don t blow yourself up with that propane heater looking good BadManxBuggy https t co tN31V5mNEx
84,  Oh Canada We can dream https t co 6qo9JGmjc2
85,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
86,  Old Quebec City Canada https t co bIADS8BxOy
87,  robot Global COVID19 cases 1 692 537 confirmed 2 107 375 458 recovered 465 102 562 deaths 84 501 301 confirmed 1 
88, acetaminophen 325 mg guaifenesin 200mg and menthol 20 mg Non Medicina https t co K1ehEPugOC
89, Canada is a state
90,  Will the Canada Council continue to issue grant payments Yes the Canada Council is processing grant payments as usu 
91,  We ve come to expect false claims from Justin Trudeau but this one takes the cake https t co lRvuT6pnJl cdnpoli
92,  Hello police I d like to report a peaceful family picnic Sorry but we re busy letting hardened violent criminals out righ 
93,  Even though Justin Trudeau shut down the courts using COVID19 as a pretext Justin s conviction can be found via Correctio 
94,  My tech guys put together this amazing animation showing the magnitude of the COVID19 job losses in Canada last month http 
95,  NEW Skirting the rules this weekend Here s what it could cost you https t co P4palzWtSs covid19nfld cbcnl https t co 
96,https t co oS8odTsKYO Ouch Guess they don t need to reprimand doctors like they do in China In Canada they j https t co cwF1C2nRP3
97,  Hey remember one short year ago when slashed health funding Remember that Ford government to cut 1 bil 
98,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
99,  Between Jan 22 and Feb 18 58 000 travellers arrived in Canada from China 2 030 of them were coming from Hubei province 
100,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
101,  HellNo Use of cellphone data for this reason would be a gross infringement of privacy and civil liberties covid19 
102,Hot EB The Combination Hot Topic and EB Games and The Largest Retailer in Canada Try Our New https t co db8Og8COqP
103,  JLP Councillor Kenisha Gordon has resigned and migrated to Canada Seems there was a fall out with her MP Babsy Grange Her l 
104,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
105,  moola Mental illness will be next wave of COVID 19 pandemic epidemiologist says CBC News https t co I9tuR8KzZm
106,  US We re celebrating the launch of the North American PUBG Twitter with a giveaway To enter follow US and   this for a c 
107, briehl Don t be dense You damn well know it s th https t co gv1XNrFSX5
108, Canada https t co KVcjSzALMn
109,  Brazil and Canada that are expected to get 50 lakh tablets of Hydroxychloroquine in the second consignment In the first consignme 
110,  Re People advocating shutting down the Alberta BC border Think it through folks It would be like using a sledgehammer 
111,  S President says he wants strong border not only with Mexico but also with Canada 
112,  Take some time to look at which nations have not paid their contributions this year Australia has but many incl U 
113,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
114,  The Quarantine Conflict Resolution Service is now featured on CBC COVID19BC https t co S7GCnzTUJs
115,  stone Ontario won t follow Quebec s lead and test all long term care homes for COVID 19 via onpoli https t co ip1K 
116,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
117, We ain t in Canada 
118,We Were Children is another powerful film Examines the history of residential schools in Canada NewWestGoesViral
119,  You can t blame Kenney for COVID19 and you can only partially blame him for the economic collapse his cuts make a bad si 
120, What is the of tests per population U S amp Canada Not that I m happy with Ontario testing rates 
121,  Critics question gender composition of new Alberta economic recovery council CBC News https t co FRfStUrUfe ableg
122,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
123, did we win mine craft Canada 1 U S A 0 https t co B65cCW6mcF
124,Keeping my options open https t co q9Sp4xiNUp
125,  Anthony Almojera is a senior paramedic in New York City he is used to being close to death but nothing in his 17 year care 
126,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
127,  1 In February it was discovered World Renowned Scientist Frank Plummer who worked at Canada s National Microbiology La 
128,  Brazil and Canada that are expected to get 50 lakh tablets of Hydroxychloroquine in the second consignment In the first consignme 
129, Whats downstate thats not good enough for upstate NY county is a whole ov https t co HKwqMrjCHv
130,  Customs and Border Protection requested 145m in US military support to surveil the US Canada border with mobile camer 
131,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
132,  B C s top doctor and health minister have been pleading with people to stay home this long weekend and avoid non essential 
133, We re Americans We don t give a shit about Canada What did you ever give us besides Shatner 
134, It would but everyone s living situation is different I would be celebrating if we got 2 000 like Ca https t co D6KyQOPaHh
135,  crawley So the United States illegal seized stole ventillators that were being sent to Barbados Some of which where probably pu 
136,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
137, I have to assume Canada will be expected to provide the ice for said wall also will y all take polit https t co AvxqHzbrRQ
138, Canada Thank you for continuing to provide a consistently intelligent voice of reason and calm amidst a global storm 
139,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
140,  We re super good over here in Canada Canadian slander just don t hit anymore especially during a pandemic Not sure how 
141,  America could learn a lesson or two from Canada
142, Buckeye US LORD HELP THE USA IF DEM S WIN THE NEXT ELECTION IN CANADA the TRAITOR JUSTIN TRUDEAU https t co 6j7pfwAO9R
143, Only 200 more days Joe Stay safe and healthy the world needs you I do wish we could see you more ofte https t co l6xPRzhV6D
144,  coming on here all you read is bad news but here is some good news and i are going to be roommates and the ne 
145, in Canada Nice colours on that one Where was that Nice fish man 
146,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
147,  Canada Dr Tam for manslaughter
148,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
149, DEAR UNITED NATIONS I com mu ni cate TO ALL GOVERNMENTS CANADA OFFICE SERVICES UNTIL I FOUND OUT https t co bCzNnsuwqg
150,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
151, Hi from Canada in the province of Quebec they postponed the government worker union talks which in https t co kBtTV5ZGzy
152,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
153,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
154,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
155,  Canada did not agree to specific production cuts in G20 meeting minister https t co KxMqxVwOc2 https t co iAnUiObw80
156,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
157,  Coronavirus update Americas USA 34 649 new cases Ecuador 2 196 new cases Brazil 1 462 new cases Canada 1 
158,Visitors steal away to B C s small towns even as locals beg them to stay home https t co XN3nvBTXSA
159,  Canada 1 4 GOC modelling numbers help us to visualise how the epidemic might unfold over the coming months so we can plan accor 
160,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
161,  America could learn a lesson or two from Canada https t co QSo5Ez3URi
162, I would LOVE to be in Canada right now
163,  Job losses in Canada last month due to COVID 19 hit women and young people particularly hard Here s the change in employm 
164,  This screenshot belongs to a Canadian woman She applied online for the Canada COVID19 Govt Benefit scheme on Tuesday 3 
165,  To prevent Americans from escaping to Canada 
166,  Latest video interview with SVP Leaders who may want to share ng wp 
167,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
168, couture um you re right but please spare some of us like me because uh we dont stand for any of that and we https t co JLu5qxN46p
169,  The US has completed 2 5M tests Canada has completed 350k Hope skippy is not getting his stats from the W H O 
170,  Relieved amp excited to have our 19yr old Granddaughter home from a working holiday in Canada this morning amp into isolation in 
171, That s the basis of the fed amp Prov Emergency Acts set out the responsibilitie https t co EwSGoCQyFF
172,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
173,  Oh yeah Join Animator Emilie Goulet in drawing Canada s greatest stuntman Duke Caboom from TOY STORY 4 Grab your p 
174, my country is Canada
175,  CoronaVirus Poor Americans They don t have water resources in US as we have in SriLanka https t co dYNtsB2EWT
176,They purposefully decide to collect no data so that they can maintain their argument that there are no issues amp con https t co dg80qOapAh
177,Used an oven mitt to handle the hotknives and then I m looking at a flame on my hand haha Got too close to the bur https t co 2VH4YnullV
178,  Canada did not agree to specific production cuts in G20 meeting minister https t co KxMqxVwOc2 https t co iAnUiObw80
179,Spot the heron birdwatching victoria bc canada heron wildlife Gorge Waterway https t co WVWwL8NmaU
180,  Coronavirus update Americas USA 34 649 new cases Ecuador 2 196 new cases Brazil 1 462 new cases Canada 1 
181, What Where are you Canada 
182, DEAR UNITED NATIONS I com mu ni cate TO ALL GOVERNMENTS CANADA OFFICE SERVICES UNTIL I FOUND OUT A CLEAR https t co ujHeBCuhwO
183,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
184,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
185,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
186,  Customs and Border Protection requested 145m in US military support to surveil the US Canada border with mobile camer 
187,  One individual who was an employee was arrested for bringing controlled prescription drugs back across the border from M 
188,  Well is cancelled for me I m VIP Rouge status because I buy so much NOT ANYMO Sephora Canada figured out how to 
189,Thats it How can I become a citizen of Canada and be accepted there https t co cixEwb4tXo
190, Not sure What sort of math were you using to get an https t co TluodvfnDe
191,  Moscrop Canada should not sell weapons to Saudi Arabia Full Stop https t co kUtA1QOtIn
192,  Is 5G dangerous It involves the same players when it comes to Agenda 2030 ID2020 Canada 2020 vaccines and drugs 
193,  Trudeau says more normal phase of Canada s coronavirus fight could come in summer https t co O5uZijoBE8 https t co KkKPL 
194,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
195,  The Forum for Canadian Sovereignty is in the process of becoming the only NGO in Canada that advocates for the sovereig 
196,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
197, Yup keep releasing them because what could go wrong Of course the 1st example i https t co paYgMqBNDw
198,  Now we know why the Feds are not really interested in help for Canadian Energy Sector https t co osgPy 
199, cuba is a country that steals Canadian children I Will not stop until you put my Canadian children on https t co dshFUEL9Uf
200,  I ve repeatedly asked that Canada stop bragging You think you re so great with your competent le 
201,  1 In February it was discovered World Renowned Scientist Frank Plummer who worked at Canada s National Microbiology La 
202,Trump and his sycophants murderers Coronavirus US death toll passes 2 000 in a single day https t co lw4Vus1wGL
203,  The same Dr Jacob s that resigned in shame OMA president Dr Nadia Alam said Jacobs letter made man 
204,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
205,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
206, Canada has a ridiculously low population given it s size and I love it 
207, Canada is giving each citizen 2000 per month for the next 4 months That s 8000 What https t co EXn8q2J2BI
208,  last year Canada s biggest energy companies raised executive pay and paid out millions in cash bonuses while laying off 
209,  Two different Canada s on the TL today folks reacting to the viral tweet about Canadians receiving CERB and folks reacti 
210,  Canadian Can I get my stimulus Canada Yep go to this website and get it in 2 days American Can I get my stimulus 
211,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
212,  Most coronavirus deaths Italy 18 849 US 18 331 Spain 15 970 France 13 197 UK 8 958 Iran 4 232 China 3 336 Belg 
213,  Dissonance Adding 6 scheduling staff 9 days in a row Dollarama has an enterprise value in Canada somewhere between 12 16B Su 
214, DEAR UNITED NATIONS I com mu ni cate TO ALL GOVERNMENTS CANADA OFFICE SERVICES UNTIL I FOUND OUT A C https t co 6jia835F57
215,IMO you Western corporate MSN twats that s what https t co Kf2QBWg5Vn
216,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
217,  A friend made a great point about PM She has Con leanings so this was gratifying She said I m impressed 
218,Could the CERB program lead Canada toward offering a universal basic income https t co 0Ag7WbJNMl
219, Workforce education is a HUGE issue especially when residents have complex conditions like https t co RU22Vu6jun
220,  My tech guys put together this amazing animation showing the magnitude of the COVID19 job losses in Canada last month http 
221,  Educators worry gap may grow for disadvantaged students learning at home https t co Ch3asCthEo
222,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
223,  NO WORD CAN TRULY EXP SS THE SORROW I FEEL I thought this could and would never happen in Canada For those who admo 
224,  Here s my take for on the Bank of Canada s decision to finally get on board with quantitative easing An important 
225, not sure if you ve addressed this do you ever help run the stats canada account because https t co 1MLki817tc
226,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
227,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
228, Those were great calls for TV s sake The shot he hit out of fairway bunker in Canada o https t co 5T93141b0f
229,At this point I m moving Oh Canada our home and native land https t co 3EJGjI8mJk
230,Ontario received 100 000 contaminated unusable swabs for COVID 19 tests as part of Federal Govt assistance https t co da1NM9hCxZ
231,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
232,  NO WORD CAN TRULY EXP SS THE SORROW I FEEL I thought this could and would never happen in Canada For those who admo 
233,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
234, Huge fan of your channel I live and Canada and we can t stream you online What are the chances this is made https t co VteirNoGMA
235,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
236, NICCCCCCE Hair s To Leg Shave in NO BULLSHIT Canada Proud 
237,  Coronavirus update Americas USA 34 649 new cases Ecuador 2 196 new cases Brazil 1 462 new cases Canada 1 
238,  Well is cancelled for me I m VIP Rouge status because I buy so much NOT ANYMO Sephora Canada figured out how to 
239,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
240, Spokesperson DEAR UNITED NATIONS I com mu ni cate TO ALL GOVERNMENTS CANADA OFFICE SERVICES UNTIL I FOUND OUT https t co atImjy5ULO
241,  It s something watching trump apologists do what they can to drag down Canada 
242,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
243,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
244,  America could learn a lesson or two from Canada
245,  
246,  Government documents reveal a slow start to Canada s COVID 19 response Bureaucrats were reluctant to monitor travellers fro 
247, They have anti non white immig https t co XDcS6xzTVo
248,  As the number confirmed COVID19 cases spike across Canada many vulnerable people are confined to isolation youth fro 
249,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
250,  We are in this together Canada United strong resilient I ll be proudly displaying a WeAreAllTeamCanada sign wh 
251,  Coronavirus update Americas USA 34 649 new cases Ecuador 2 196 new cases Brazil 1 462 new cases Canada 1 
252,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
253,  NEW Canada reports 1 383 new cases of coronavirus and 77 new deaths A total of 22 148 cases and 621 deaths 
254,  Meg Found by royal Bank robbers after vacuuming the vault and emptying the cash drawers have fled less frantically 
255,  You can t blame Kenney for COVID19 and you can only partially blame him for the economic collapse his cuts make a bad si 
256,  Usually Easter weekend includes mass egg hunts or family get togethers This year practice physicaldistancing to limi 
257,  I want to send a thank you to fellow Canadian tax payers amp today I got the CERB today It was painless Qu 
258,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
259,  Finn s stormtrooper number was FN 2187 The is a homage to cell 2187 
260, 2 Tone Books https t co n9X7bRcQby
261,  s You have 700 in your bank but you re wearing Canada goose and Balmain Make it make sense you undercover broke boy
262,  We know it will be bad but not a bloodbath reports https t co mIMvyaOAGS
263,  In the morning the cops come And I escape in one of their uniforms I tell her to meet me in me Mexico But I go to Canad 
264,  Meanwhile in Canada https t co Fu25AX1Bgi
265,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
266,  Ontario received 100 000 contaminated unusable swabs for COVID 19 tests The Star These are the Trudeau tests that h 
267, The great person you are sir I like you so much and this is my Dream country Canada worldwide all th https t co 5aGRFo2JNG
268,  The UN has setup an account to fight the Coronavirus and wants 10 of the planets annual income Countries are doing just f 
269,  Here s my daily COVID 19 update Canada now has 22 148 cases of COVID 19 There were 1 383 new cases confirmed today 60 peop 
270,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
271, I guess this partially explains lack of testing https t co AGkkvNqCpY
272,Congrats to and Team Canada for their victory in this evening s RGBHighScore NES Ice Hockey Live Tourna https t co O1wcYr4SY9
273,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
274,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
275,  There are millions of infected Americans Less than 1 of the population has been tested Unconscionable mismanage 
276, Living in Canada there s a huge conversion and exchange rate fee it sucks I ve had a 2 3 or 4 https t co MXJjaYu6rG
277, Derfel Terrible news story I thought Canada was better than this 
278,  The first on reserve death from COVID 19 has made the concerns of Indigenous leaders amp Cdn medical officials more urge 
279,BBC News Coronavirus US death toll passes 2 000 in a single day https t co OBwqJRKEgR
280,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
281,  Canada Recoveries 6 013 Ontario Recoveries 2 574 3 441 are active Toronto Recoveries 103 
282,  Now we are told we cannot travel between BC amp Alberta by the same people who 1 month ago said it it was totally OK to tra 
283,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
284,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
285,  Federal Refusal To Help Canada s Oil Industry Would Be An Act Of Disloyalty amp Economic Sabotage Against Our Country h 
286,  The first on reserve death from COVID 19 has made the concerns of Indigenous leaders amp Cdn medical officials more urge 
287,  Now we are told we cannot travel between BC amp Alberta by the same people who 1 month ago said it it was totally OK to tra 
288,  brad https t co uER2KaFkWN A year ago It s like most of you have the memory ability of a cat 
289,  My tech guys put together this amazing animation showing the magnitude of the COVID19 job losses in Canada last month http 
290,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
291,  Those praising Ford surely must also acknowledge the public health cuts cutting 10 paid sick days to a mere 3 reinstating 
292,Hey Twitter Bot here How is Canada running 
293,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
294,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
295,  Well is cancelled for me I m VIP Rouge status because I buy so much NOT ANYMO Sephora Canada figured out how to 
296,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
297,  Seeing refuses to bring back parliament Electronically or using social distancing it can be done What I don 
298,  My granddaughter in Canada has already received her first 2000 for the Last month and will soon receive the n 
299,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
300, Just Cough spreading the News https t co 6n3m8mwVsR https t co 1TAHR1EFT0 https t co S75inVF64j
301, On tonight s broadcast Eric Sorensen was comparing Canada to Denmark amp Sweden in relation to https t co gYxMw3SofK
302,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
303,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
304,  Hello police I d like to report a peaceful family picnic Sorry but we re busy letting hardened violent criminals out righ 
305,  Harsher punishment for going for a walk than blocking a national railway Canada is so messed up 
306, Walking down a street in rural Canada in another Century Wearing a mask and gloves on Good Friday https t co WAiED6EYXx
307,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
308,  anyone have any kk slider concert suggestions what r ur fave kk beats https t co 5JiBFh4cE4
309,  Canada 1 4 GOC modelling numbers help us to visualise how the epidemic might unfold over the coming months so we can plan accor 
310,  Where did the swabs come from Ontario received 100 000 contaminated unusable swabs for COVID 19 tests The Star https 
311,2020 April 11 DaySpecials Holy Saturday Safe Motherhood Day World Parkinson s Disease Day Submarine Day Slow https t co BXGiyToAZ2
312,  Seamus O Regan was considered by many people to be the worst minister in Trudeau s cabinet O Regan 
313,  Q 2019 China is busted deploying fetanyal and heroin through southwest cartels as a weapon of mass destruction against th 
314,  Trump is saying he wants a stronger border with Canada Again So again I say on behalf of Canadians everywhere there 
315, Hyperion Not a lot of pressure and a lot of fish Beautiful lake They started a walleye introduction progra https t co hBLLZcXfaj
