id,tweet,bow,match,polarity
11, KathleenGanley Kenney thinks he is like Churchill but when parliament sat during WWII they wanted everyone to carry on they were mod,"{'kathleenganley': 1, 'kenney': 1, 'thinks': 1, 'he': 1, 'is': 1, 'like': 1, 'churchill': 1, 'but': 1, 'when': 1, 'parliament': 1, 'sat': 1, 'during': 1, 'wwii': 1, 'they': 2, 'wanted': 1, 'everyone': 1, 'to': 1, 'carry': 1, 'on': 1, 'were': 1, 'mod': 1}",{'like': 1},positive
12, OSSTFtoronto Maybe one of the biggest takeaways at the end of the day will be this The bricksandmortar classroom is one of the big,"{'osstftoronto': 1, 'maybe': 1, 'one': 2, 'of': 3, 'the': 5, 'biggest': 1, 'takeaways': 1, 'at': 1, 'end': 1, 'day': 1, 'will': 1, 'be': 1, 'this': 1, 'bricksandmortar': 1, 'classroom': 1, 'is': 1, 'big': 1}",{},neutral
13, abo3mralrwily Saudi Arabia and human rightsamid coronavirus Its more far away from our comprehensionLets see this videoCOVI,"{'abo3mralrwily': 1, 'saudi': 1, 'arabia': 1, 'and': 1, 'human': 1, 'rightsamid': 1, 'coronavirus': 1, 'its': 1, 'more': 1, 'far': 1, 'away': 1, 'from': 1, 'our': 1, 'comprehensionlets': 1, 'see': 1, 'this': 1, 'videocovi': 1}",{},neutral
14, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
15, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
16, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
17, DArcyGrant haangran JustinTrudeau Is Parliament Hill construction critical infrastructure The construction site should be shut d,"{'darcygrant': 1, 'haangran': 1, 'justintrudeau': 1, 'is': 1, 'parliament': 1, 'hill': 1, 'construction': 2, 'critical': 1, 'infrastructure': 1, 'the': 1, 'site': 1, 'should': 1, 'be': 1, 'shut': 1, 'd': 1}",{'critical': 1},negative
18, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
19,Im lost in QTheyre more within each Tweet Not only in the Q dropsKenya Rwanda Ghana Germany UK LA Can ,"{'im': 1, 'lost': 1, 'in': 2, 'qtheyre': 1, 'more': 1, 'within': 1, 'each': 1, 'tweet': 1, 'not': 1, 'only': 1, 'the': 1, 'q': 1, 'dropskenya': 1, 'rwanda': 1, 'ghana': 1, 'germany': 1, 'uk': 1, 'la': 1, 'can': 1}",{'lost': 1},negative
20,FlyrUsr GeorgeGammon JacksonStewal WTFBill Im sure Canada can send a few private lenders your way lol,"{'flyrusr': 1, 'georgegammon': 1, 'jacksonstewal': 1, 'wtfbill': 1, 'im': 1, 'sure': 1, 'canada': 1, 'can': 1, 'send': 1, 'a': 1, 'few': 1, 'private': 1, 'lenders': 1, 'your': 1, 'way': 1, 'lol': 1}",{},neutral
21,POWERFUL LOST LOVE SPELLS TO GET EX BACK 27605775963 IN USAUKIRELANDNORWAYDUBAIKUWAITBELGIUMCANADA ,"{'powerful': 1, 'lost': 1, 'love': 1, 'spells': 1, 'to': 1, 'get': 1, 'ex': 1, 'back': 1, '27605775963': 1, 'in': 1, 'usaukirelandnorwaydubaikuwaitbelgiumcanada': 1}","{'powerful': 1, 'lost': 1, 'love': 1}",positive
22, TandCTODAY The latest developments on COVID19 in Canada on April 11  ,"{'tandctoday': 1, 'the': 1, 'latest': 1, 'developments': 1, 'on': 2, 'covid19': 1, 'in': 1, 'canada': 1, 'april': 1, '11': 1}",{},neutral
23, jamft Lets be perfectly clear There is no crisis in Canada Less than 600 people have died less than 1000 are hospitalized There i,"{'jamft': 1, 'lets': 1, 'be': 1, 'perfectly': 1, 'clear': 1, 'there': 2, 'is': 1, 'no': 1, 'crisis': 1, 'in': 1, 'canada': 1, 'less': 2, 'than': 2, '600': 1, 'people': 1, 'have': 1, 'died': 1, '1000': 1, 'are': 1, 'hospitalized': 1, 'i': 1}","{'perfectly': 1, 'clear': 1, 'crisis': 1, 'died': 1}",neutral
24,No other province holds the country hostage like the separatists in QC The last thing those phoney bastards want ,"{'no': 1, 'other': 1, 'province': 1, 'holds': 1, 'the': 3, 'country': 1, 'hostage': 1, 'like': 1, 'separatists': 1, 'in': 1, 'qc': 1, 'last': 1, 'thing': 1, 'those': 1, 'phoney': 1, 'bastards': 1, 'want': 1}","{'hostage': 1, 'like': 1, 'bastards': 1}",negative
25, NathanLerner Stimulus packages around the worldUK 80 of workers salariesDenmark 75 of workers salariesS Korea 70 of wor,"{'nathanlerner': 1, 'stimulus': 1, 'packages': 1, 'around': 1, 'the': 1, 'worlduk': 1, '80': 1, 'of': 3, 'workers': 2, 'salariesdenmark': 1, '75': 1, 'salariess': 1, 'korea': 1, '70': 1, 'wor': 1}",{},neutral
26,The latest developments on COVID19 in Canada on April 11  ,"{'the': 1, 'latest': 1, 'developments': 1, 'on': 2, 'covid19': 1, 'in': 1, 'canada': 1, 'april': 1, '11': 1}",{},neutral
27, rexglacer Meet the man that prevented Canada from becoming a Trudeau dictatorship,"{'rexglacer': 1, 'meet': 1, 'the': 1, 'man': 1, 'that': 1, 'prevented': 1, 'canada': 1, 'from': 1, 'becoming': 1, 'a': 1, 'trudeau': 1, 'dictatorship': 1}",{},neutral
28, tylermeredith The Canada Emergency Wage Subsidy Act has been adopted by SenatCA without amendmentThis major support measure to pro,"{'tylermeredith': 1, 'the': 1, 'canada': 1, 'emergency': 1, 'wage': 1, 'subsidy': 1, 'act': 1, 'has': 1, 'been': 1, 'adopted': 1, 'by': 1, 'senatca': 1, 'without': 1, 'amendmentthis': 1, 'major': 1, 'support': 1, 'measure': 1, 'to': 1, 'pro': 1}","{'emergency': 1, 'support': 1}",neutral
29,4th person dies from COVID19 in Saskatchewan  elonmusk,"{'4th': 1, 'person': 1, 'dies': 1, 'from': 1, 'covid19': 1, 'in': 1, 'saskatchewan': 1, 'elonmusk': 1}",{'dies': 1},negative
30, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
31, MatteaMerta WHY is Canadas health minister backing up Chinas lies ,"{'matteamerta': 1, 'why': 1, 'is': 1, 'canadas': 1, 'health': 1, 'minister': 1, 'backing': 1, 'up': 1, 'chinas': 1, 'lies': 1}",{'lies': 1},negative
32, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
33, JanetWagner21 He brought me to tears today with his eloquent address His words so clearly speak to my own heart I am so proud of our,"{'janetwagner21': 1, 'he': 1, 'brought': 1, 'me': 1, 'to': 2, 'tears': 1, 'today': 1, 'with': 1, 'his': 2, 'eloquent': 1, 'address': 1, 'words': 1, 'so': 2, 'clearly': 1, 'speak': 1, 'my': 1, 'own': 1, 'heart': 1, 'i': 1, 'am': 1, 'proud': 1, 'of': 1, 'our': 1}","{'eloquent': 1, 'clearly': 1, 'proud': 1}",positive
34, MicheleAustin I like this read because it frames COVID in a new way for me Has your life been changed forever by this past month,"{'micheleaustin': 1, 'i': 1, 'like': 1, 'this': 2, 'read': 1, 'because': 1, 'it': 1, 'frames': 1, 'covid': 1, 'in': 1, 'a': 1, 'new': 1, 'way': 1, 'for': 1, 'me': 1, 'has': 1, 'your': 1, 'life': 1, 'been': 1, 'changed': 1, 'forever': 1, 'by': 1, 'past': 1, 'month': 1}",{'like': 1},positive
35, Bird5Ca In Jan Tam said there would be cases of COVID19 but its going to be rareNow the Libs are blaming us saying tighter,"{'bird5ca': 1, 'in': 1, 'jan': 1, 'tam': 1, 'said': 1, 'there': 1, 'would': 1, 'be': 2, 'cases': 1, 'of': 1, 'covid19': 1, 'but': 1, 'its': 1, 'going': 1, 'to': 1, 'rarenow': 1, 'the': 1, 'libs': 1, 'are': 1, 'blaming': 1, 'us': 1, 'saying': 1, 'tighter': 1}",{},neutral
36, Photospice We thought wed find the odd person needing a diaper change Patients were all sitting in urine and feces Some dressings,"{'photospice': 1, 'we': 1, 'thought': 1, 'wed': 1, 'find': 1, 'the': 1, 'odd': 1, 'person': 1, 'needing': 1, 'a': 1, 'diaper': 1, 'change': 1, 'patients': 1, 'were': 1, 'all': 1, 'sitting': 1, 'in': 1, 'urine': 1, 'and': 1, 'feces': 1, 'some': 1, 'dressings': 1}",{'odd': 1},negative
37, maxmaxx1965 Saturday More than 23000 infected and 650 dead Heres a provincial breakdown Topbuzz ,"{'maxmaxx1965': 1, 'saturday': 1, 'more': 1, 'than': 1, '23000': 1, 'infected': 1, 'and': 1, '650': 1, 'dead': 1, 'heres': 1, 'a': 1, 'provincial': 1, 'breakdown': 1, 'topbuzz': 1}","{'infected': 1, 'dead': 1, 'breakdown': 1}",negative
38, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
39, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
40,RosieBarton The man has failed Canada in so many ways since 2015  I dont know where to begin to elaborate how ba ,"{'rosiebarton': 1, 'the': 1, 'man': 1, 'has': 1, 'failed': 1, 'canada': 1, 'in': 1, 'so': 1, 'many': 1, 'ways': 1, 'since': 1, '2015': 1, 'i': 1, 'dont': 1, 'know': 1, 'where': 1, 'to': 2, 'begin': 1, 'elaborate': 1, 'how': 1, 'ba': 1}",{'failed': 1},negative
41, MerlinGyr Well to be fair Canada has a functioning government ,"{'merlingyr': 1, 'well': 1, 'to': 1, 'be': 1, 'fair': 1, 'canada': 1, 'has': 1, 'a': 1, 'functioning': 1, 'government': 1}","{'well': 1, 'fair': 1}",positive
42, NathanLerner Stimulus packages around the worldUK 80 of workers salariesDenmark 75 of workers salariesS Korea 70 of wor,"{'nathanlerner': 1, 'stimulus': 1, 'packages': 1, 'around': 1, 'the': 1, 'worlduk': 1, '80': 1, 'of': 3, 'workers': 2, 'salariesdenmark': 1, '75': 1, 'salariess': 1, 'korea': 1, '70': 1, 'wor': 1}",{},neutral
43, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
44,Just like Italy the bankruptcy of Canada plays right into Skippys hands  With a worthless dollar the country wil ,"{'just': 1, 'like': 1, 'italy': 1, 'the': 2, 'bankruptcy': 1, 'of': 1, 'canada': 1, 'plays': 1, 'right': 1, 'into': 1, 'skippys': 1, 'hands': 1, 'with': 1, 'a': 1, 'worthless': 1, 'dollar': 1, 'country': 1, 'wil': 1}","{'like': 1, 'right': 1, 'worthless': 1}",positive
45, NEWS1130 NDP Leader Jagmeet Singh says he wants the government to lift all criteria for the Canada Emergency Response Benefit to allow,"{'news1130': 1, 'ndp': 1, 'leader': 1, 'jagmeet': 1, 'singh': 1, 'says': 1, 'he': 1, 'wants': 1, 'the': 2, 'government': 1, 'to': 2, 'lift': 1, 'all': 1, 'criteria': 1, 'for': 1, 'canada': 1, 'emergency': 1, 'response': 1, 'benefit': 1, 'allow': 1}","{'emergency': 1, 'benefit': 1}",neutral
46, jmclennan8 OttawaPolitico yksask CBC Agreed the CBC is way past their best before date  We need to sell or shutdown the CBC and st,"{'jmclennan8': 1, 'ottawapolitico': 1, 'yksask': 1, 'cbc': 3, 'agreed': 1, 'the': 2, 'is': 1, 'way': 1, 'past': 1, 'their': 1, 'best': 1, 'before': 1, 'date': 1, 'we': 1, 'need': 1, 'to': 1, 'sell': 1, 'or': 1, 'shutdown': 1, 'and': 1, 'st': 1}",{'best': 1},positive
47, bunnytracking The EasterBunny was just spotted in Conception Bay South Canada To track visitor,"{'bunnytracking': 1, 'the': 1, 'easterbunny': 1, 'was': 1, 'just': 1, 'spotted': 1, 'in': 1, 'conception': 1, 'bay': 1, 'south': 1, 'canada': 1, 'to': 1, 'track': 1, 'visitor': 1}",{},neutral
48, TheDHTaylor Recently someone from Brampton drove all the way to our local grocery store in Buckhorn draining the store shelves of  1,"{'thedhtaylor': 1, 'recently': 1, 'someone': 1, 'from': 1, 'brampton': 1, 'drove': 1, 'all': 1, 'the': 2, 'way': 1, 'to': 1, 'our': 1, 'local': 1, 'grocery': 1, 'store': 2, 'in': 1, 'buckhorn': 1, 'draining': 1, 'shelves': 1, 'of': 1, '1': 1}",{'draining': 1},negative
49, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
50, spectatorindex Most coronavirus deathsItaly 18849US 18761Spain 16353France 13197UK 8958Iran 4232Belgium 3346Ch,"{'spectatorindex': 1, 'most': 1, 'coronavirus': 1, 'deathsitaly': 1, '18849us': 1, '18761spain': 1, '16353france': 1, '13197uk': 1, '8958iran': 1, '4232belgium': 1, '3346ch': 1}",{},neutral
51,SHube3 realjohnstrong Comfydez jmwforg RandPaul Really worried about any country that ,"{'shube3': 1, 'realjohnstrong': 1, 'comfydez': 1, 'jmwforg': 1, 'randpaul': 1, 'really': 1, 'worried': 1, 'about': 1, 'any': 1, 'country': 1, 'that': 1}",{'worried': 1},negative
52,see yea no,"{'see': 1, 'yea': 1, 'no': 1}",{},neutral
53, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
54, Goodable This week the Premier of Ontario Canadas largest province abruptly stopped one of his daily coronavirus press conferences,"{'goodable': 1, 'this': 1, 'week': 1, 'the': 1, 'premier': 1, 'of': 2, 'ontario': 1, 'canadas': 1, 'largest': 1, 'province': 1, 'abruptly': 1, 'stopped': 1, 'one': 1, 'his': 1, 'daily': 1, 'coronavirus': 1, 'press': 1, 'conferences': 1}","{'premier': 1, 'abruptly': 1}",neutral
55, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
56, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
57,DryasYounger1 Cant wait til no more Roxham rdgtfloodgategt So irresponsible for Liberals letting mass immigration ,"{'dryasyounger1': 1, 'cant': 1, 'wait': 1, 'til': 1, 'no': 1, 'more': 1, 'roxham': 1, 'rdgtfloodgategt': 1, 'so': 1, 'irresponsible': 1, 'for': 1, 'liberals': 1, 'letting': 1, 'mass': 1, 'immigration': 1}",{'irresponsible': 1},negative
58, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
59,19 Mexican agricultural workers have contracted COVID19 in Canada ,"{'19': 1, 'mexican': 1, 'agricultural': 1, 'workers': 1, 'have': 1, 'contracted': 1, 'covid19': 1, 'in': 1, 'canada': 1}",{},neutral
60, HelenPhilpot Stimulus packages from around the worldS Korea 70 of workers salaryNetherlands 90 salaryUK 80 salaryDenmark,"{'helenphilpot': 1, 'stimulus': 1, 'packages': 1, 'from': 1, 'around': 1, 'the': 1, 'worlds': 1, 'korea': 1, '70': 1, 'of': 1, 'workers': 1, 'salarynetherlands': 1, '90': 1, 'salaryuk': 1, '80': 1, 'salarydenmark': 1}",{},neutral
61,USA now 160 Diagnosed per 100000 population Germany 150  USA 62 Deaths per 100000 Germany 34 amp Canada 17 ,"{'usa': 2, 'now': 1, '160': 1, 'diagnosed': 1, 'per': 2, '100000': 2, 'population': 1, 'germany': 2, '150': 1, '62': 1, 'deaths': 1, '34': 1, 'amp': 1, 'canada': 1, '17': 1}",{},neutral
62, aaronAcarr New Zealand South Korea Germany Taiwan Thailand Australia Singapore HK Japan Norway Canada  CA have a combined,"{'aaronacarr': 1, 'new': 1, 'zealand': 1, 'south': 1, 'korea': 1, 'germany': 1, 'taiwan': 1, 'thailand': 1, 'australia': 1, 'singapore': 1, 'hk': 1, 'japan': 1, 'norway': 1, 'canada': 1, 'ca': 1, 'have': 1, 'a': 1, 'combined': 1}",{},neutral
63, Davesugar4you1 Im a legit sugardaddy who just want to shower my babies with money like retweet and follow get you 5000 weekly s,"{'davesugar4you1': 1, 'im': 1, 'a': 1, 'legit': 1, 'sugardaddy': 1, 'who': 1, 'just': 1, 'want': 1, 'to': 1, 'shower': 1, 'my': 1, 'babies': 1, 'with': 1, 'money': 1, 'like': 1, 'retweet': 1, 'and': 1, 'follow': 1, 'get': 1, 'you': 1, '5000': 1, 'weekly': 1, 's': 1}",{'like': 1},positive
64, ezralevant This from the lazy ass who has spent the last month lounging around at home in his pyjamasThe fool who left Canada to go,"{'ezralevant': 1, 'this': 1, 'from': 1, 'the': 2, 'lazy': 1, 'ass': 1, 'who': 2, 'has': 1, 'spent': 1, 'last': 1, 'month': 1, 'lounging': 1, 'around': 1, 'at': 1, 'home': 1, 'in': 1, 'his': 1, 'pyjamasthe': 1, 'fool': 1, 'left': 1, 'canada': 1, 'to': 1, 'go': 1}","{'lazy': 1, 'fool': 1}",negative
65, CBCFletch Here are the latest COVID19 data for Alberta 69 new cases today vs 49 yesterday Most new cases in Calgary zone whi,"{'cbcfletch': 1, 'here': 1, 'are': 1, 'the': 1, 'latest': 1, 'covid19': 1, 'data': 1, 'for': 1, 'alberta': 1, '69': 1, 'new': 2, 'cases': 2, 'today': 1, 'vs': 1, '49': 1, 'yesterday': 1, 'most': 1, 'in': 1, 'calgary': 1, 'zone': 1, 'whi': 1}",{},neutral
66,Any vote not for the Peoples Party of Canada is a vote for the lieberals ,"{'any': 1, 'vote': 2, 'not': 1, 'for': 2, 'the': 2, 'peoples': 1, 'party': 1, 'of': 1, 'canada': 1, 'is': 1, 'a': 1, 'lieberals': 1}",{},neutral
67, robynsch Hearing anxiety from pregnant people worried they wont be able to get an abortion in Canada because of Covid19 Please r,"{'robynsch': 1, 'hearing': 1, 'anxiety': 1, 'from': 1, 'pregnant': 1, 'people': 1, 'worried': 1, 'they': 1, 'wont': 1, 'be': 1, 'able': 1, 'to': 1, 'get': 1, 'an': 1, 'abortion': 1, 'in': 1, 'canada': 1, 'because': 1, 'of': 1, 'covid19': 1, 'please': 1, 'r': 1}","{'anxiety': 1, 'worried': 1}",negative
68, LeonardRoxon Govt giving banks 150 Billion to keep them liquid Canadas big 6 banks together earned 46 billion in profits in 2019,"{'leonardroxon': 1, 'govt': 1, 'giving': 1, 'banks': 2, '150': 1, 'billion': 2, 'to': 1, 'keep': 1, 'them': 1, 'liquid': 1, 'canadas': 1, 'big': 1, '6': 1, 'together': 1, 'earned': 1, '46': 1, 'in': 2, 'profits': 1, '2019': 1}",{},neutral
69, MarleneJF4 You know Scheer won the most votes over Trudeau with the media screwing up the debates amp all the news Scheer did not win,"{'marlenejf4': 1, 'you': 1, 'know': 1, 'scheer': 2, 'won': 1, 'the': 4, 'most': 1, 'votes': 1, 'over': 1, 'trudeau': 1, 'with': 1, 'media': 1, 'screwing': 1, 'up': 1, 'debates': 1, 'amp': 1, 'all': 1, 'news': 1, 'did': 1, 'not': 1, 'win': 1}","{'won': 1, 'win': 1}",positive
70, Hanigsberg We run the very real risk that our healthcare research ecosystem will be set back by years unless the government acts now t,"{'hanigsberg': 1, 'we': 1, 'run': 1, 'the': 2, 'very': 1, 'real': 1, 'risk': 1, 'that': 1, 'our': 1, 'healthcare': 1, 'research': 1, 'ecosystem': 1, 'will': 1, 'be': 1, 'set': 1, 'back': 1, 'by': 1, 'years': 1, 'unless': 1, 'government': 1, 'acts': 1, 'now': 1, 't': 1}",{'risk': 1},negative
71,rickppc ChrisSurano PPCForCanada LatarianTidePod pearlk60 CPCHQ MaximeBernier peoplespca Agreed ,"{'rickppc': 1, 'chrissurano': 1, 'ppcforcanada': 1, 'latariantidepod': 1, 'pearlk60': 1, 'cpchq': 1, 'maximebernier': 1, 'peoplespca': 1, 'agreed': 1}",{},neutral
72, COVID19AB  Canada Hospitalization rates unbelievably low in Alberta as of this week  Dont believe in hy ,"{'covid19ab': 1, 'canada': 1, 'hospitalization': 1, 'rates': 1, 'unbelievably': 1, 'low': 1, 'in': 2, 'alberta': 1, 'as': 1, 'of': 1, 'this': 1, 'week': 1, 'dont': 1, 'believe': 1, 'hy': 1}",{'unbelievably': 1},negative
73, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
74, dareustheblack My main and tbh only problem with Canada is that Im not there,"{'dareustheblack': 1, 'my': 1, 'main': 1, 'and': 1, 'tbh': 1, 'only': 1, 'problem': 1, 'with': 1, 'canada': 1, 'is': 1, 'that': 1, 'im': 1, 'not': 1, 'there': 1}",{'problem': 1},negative
75, PatBruc cdnpoli What a dishonest  deceptive unethical immoral disgusting back stabbing hit job from an ignoramus journalist  a d,"{'patbruc': 1, 'cdnpoli': 1, 'what': 1, 'a': 2, 'dishonest': 1, 'deceptive': 1, 'unethical': 1, 'immoral': 1, 'disgusting': 1, 'back': 1, 'stabbing': 1, 'hit': 1, 'job': 1, 'from': 1, 'an': 1, 'ignoramus': 1, 'journalist': 1, 'd': 1}","{'dishonest': 1, 'deceptive': 1, 'unethical': 1, 'immoral': 1, 'disgusting': 1}",negative
